Date,Open,High,Low,Close,Adj Close,Volume
2015-03-09,28800.000000,28800.000000,28400.000000,28400.000000,275.414124,7814600
2015-03-10,28680.000000,28860.000000,28400.000000,28420.000000,275.608093,10419850
2015-03-11,28380.000000,29580.000000,28360.000000,29480.000000,285.887604,21108650
2015-03-12,29200.000000,29460.000000,28940.000000,28940.000000,280.650879,19153200
2015-03-13,29220.000000,29580.000000,29100.000000,29140.000000,282.590424,9413100
2015-03-16,29160.000000,29740.000000,29100.000000,29400.000000,285.111786,8974550
2015-03-17,29400.000000,30000.000000,29200.000000,29940.000000,290.348572,13661150
2015-03-18,29920.000000,30120.000000,29720.000000,30060.000000,291.512238,12464350
2015-03-19,30200.000000,30200.000000,29400.000000,29400.000000,285.111786,13225800
2015-03-20,29500.000000,29600.000000,29200.000000,29280.000000,283.948120,12704950
2015-03-23,29240.000000,29480.000000,29160.000000,29340.000000,284.529907,8122900
2015-03-24,29100.000000,29560.000000,29100.000000,29520.000000,286.275543,9113150
2015-03-25,29740.000000,29760.000000,29440.000000,29700.000000,288.021179,9369050
2015-03-26,29000.000000,29120.000000,28420.000000,28420.000000,275.608093,21005950
2015-03-27,28300.000000,28960.000000,28300.000000,28420.000000,275.608093,16065800
2015-03-30,28500.000000,28680.000000,28240.000000,28560.000000,276.965790,8955500
2015-03-31,28980.000000,29040.000000,28600.000000,28820.000000,279.487152,9842650
2015-04-01,28740.000000,28740.000000,28400.000000,28460.000000,275.995972,7266050
2015-04-02,28680.000000,28800.000000,28460.000000,28680.000000,278.129456,6903400
2015-04-03,28680.000000,28800.000000,28400.000000,28680.000000,278.129456,6270150
2015-04-06,28860.000000,29800.000000,28700.000000,29400.000000,285.111786,10582600
2015-04-07,29560.000000,29700.000000,29240.000000,29240.000000,283.560150,9526050
2015-04-08,29400.000000,29700.000000,29200.000000,29580.000000,286.857361,7773400
2015-04-09,29400.000000,29780.000000,29400.000000,29660.000000,287.633209,9107550
2015-04-10,29600.000000,29880.000000,29560.000000,29800.000000,288.990875,9960100
2015-04-13,29580.000000,29820.000000,29360.000000,29580.000000,286.857361,10293300
2015-04-14,29700.000000,29700.000000,29300.000000,29480.000000,285.887604,9429750
2015-04-15,29200.000000,29400.000000,28540.000000,28920.000000,280.456970,13551050
2015-04-16,29240.000000,29540.000000,28940.000000,29540.000000,286.469482,10762350
2015-04-17,29540.000000,29560.000000,28940.000000,29000.000000,281.232727,10172300
2015-04-20,28920.000000,28960.000000,28460.000000,28600.000000,277.353668,12394900
2015-04-21,28420.000000,28900.000000,28400.000000,28880.000000,280.069031,11852650
2015-04-22,28880.000000,29460.000000,28720.000000,29220.000000,283.366241,12655550
2015-04-23,29400.000000,29400.000000,28800.000000,29020.000000,281.426697,9245150
2015-04-24,28980.000000,29100.000000,28000.000000,28200.000000,273.474609,19089900
2015-04-27,28200.000000,28220.000000,27500.000000,27900.000000,270.565308,16517150
2015-04-28,27800.000000,28000.000000,27180.000000,27320.000000,264.940643,15697300
2015-04-29,27340.000000,27880.000000,27280.000000,27700.000000,268.625732,10895650
2015-04-30,27700.000000,28360.000000,27580.000000,28200.000000,273.474609,18352850
2015-05-04,28140.000000,28460.000000,27940.000000,28000.000000,271.535034,8283700
2015-05-06,27800.000000,27820.000000,27120.000000,27240.000000,264.164825,13270500
2015-05-07,27240.000000,27500.000000,27080.000000,27400.000000,265.716461,10257400
2015-05-08,27320.000000,27400.000000,26760.000000,26760.000000,259.509918,9488100
2015-05-11,27200.000000,27200.000000,26720.000000,26720.000000,259.122040,9640450
2015-05-12,26900.000000,27060.000000,26480.000000,26620.000000,258.152252,10633200
2015-05-13,26980.000000,26980.000000,26520.000000,26660.000000,258.540161,9877250
